[10:46:51:737 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review2536795.json
[10:46:51:738 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review790579.json
[10:46:51:741 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review18204.json
[10:46:51:742 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review15135.json
[10:46:51:748 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review883306.json
[10:46:51:753 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review19842.json
[10:46:51:754 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review57255.json
[10:46:51:756 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review7635.json
[10:46:51:766 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review24540.json
[10:46:51:768 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review564858.json
[10:46:51:776 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review1208461.json
[10:46:51:778 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5425.json
[10:46:51:781 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review11771.json
[10:46:51:830 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review455591.json
[10:46:51:836 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review14553.json
[10:46:51:840 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review118232.json
[10:46:51:849 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review28200.json
[10:46:51:851 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review5901.json
[10:46:51:853 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review15769.json
[10:46:51:856 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review897333.json
[10:46:51:857 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review12345.json
[10:46:51:864 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review23838.json
[10:46:51:864 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/SFOAirport/review4705.json
[10:46:51:864 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/SFOAirport/review40443.json
[10:46:51:870 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review599536.json
[10:46:51:872 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/SFOAirport/review524164.json
[10:46:51:873 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/SFOAirport/review1139289.json
[10:46:51:879 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/SFOAirport/review4044.json
